,Date,Name,Duration,Distance,Speed,UpHill,DownHill
475,2019-05-04,Tour 04.05.2019 09:55,1.28,12.69,9.9,212,234
476,2019-05-03,Tour 03.05.2019 09:18,1.48,27.36,18.5,202,196
477,2019-04-22,Tour 22.04.2019 14:48,1.35,25.37,18.7,152,153
478,2019-04-20,Tour 20.04.2019 09:16,1.26,24.82,19.7,136,137
479,2019-04-18,Tour 18.04.2019 10:05,1.36,25.03,18.3,139,144
480,2019-04-15,Tour 15.04.2019 10:32,1.29,24.84,19.3,154,143
481,2019-04-13,Tour 13.04.2019 10:56,2.28,32.97,14.5,217,218
482,2019-04-12,מעינות גיבתון,0.0,31.68,0.0,159,159
483,2019-04-11,Tour 11.04.2019 17:51,1.46,27.22,18.7,175,185
484,2019-04-09,Tour 09.04.2019 10:01,1.15,19.89,17.3,137,134
485,2019-04-06,Tour 06.04.2019 10:50,2.22,32.11,14.5,232,231
486,2019-04-05,Tour 05.04.2019 10:02,2.07,28.17,13.6,242,243
487,2019-03-27,Tour 27.03.2019 11:53,1.34,23.17,17.3,374,376
488,2019-03-23,Tour 23.03.2019 10:34,2.08,33.06,15.9,245,255
489,2019-03-22,Tel Hadid  short Shohm   22.03.2019 10:05,1.86,19.6,10.5,287,293
490,2019-03-20,יער הקדושים 20.03.2019 11:13,1.35,20.61,15.3,388,363
491,2019-03-13,Tour 13.03.2019 11:09,0.95,16.6,17.5,95,97
492,2019-03-09,Tour 11.03.2019 06:25,0.89,10.9,12.2,111,125
493,2019-03-08,Tour 08.03.2019 17:06,1.53,22.21,14.5,173,170
494,2019-03-06,Tour 06.03.2019 13:48,1.73,29.76,17.2,211,209
495,2019-02-23,Tour 23.02.2019 10:19,1.17,15.5,13.3,245,247
496,2019-02-22,Tour 22.02.2019 09:52,1.34,18.29,13.6,152,152
497,2019-02-13,Tour 13.02.2019 10:50,1.31,20.7,15.8,385,380
498,2019-02-08,יער הקדושים דרך נוף דרומית חזרה בצפונית,1.64,23.8,14.5,461,460
499,2019-02-02,Tour 02.02.2019 09:50,1.02,12.37,12.2,124,127
500,2019-02-01,Tour 01.02.2019 10:10,0.82,11.52,14.1,99,32
501,2019-01-26,למקורות וחזרה עם יעקב,1.96,27.63,14.1,188,187
502,2019-01-25,תכנון למשמר דוד,0.0,15.52,0.0,116,74
503,2019-01-25,Tour 25.01.2019 15:30,1.34,22.91,17.0,155,155
504,2019-01-24,Tour 24.01.2019 14:37,1.15,17.99,15.7,126,126
505,2019-01-12,Tour 12.01.2019 10:54,0.97,14.8,15.3,262,425
506,2019-01-12,Tour 12.01.2019 08:47,0.75,5.75,7.7,198,0
507,2019-01-05,Tour 05.01.2019 10:39,1.09,17.42,16.0,117,104
508,2018-12-22,Tour 22.12.2018 16:58,1.9,28.28,14.9,189,192
509,2018-12-15,Tour 15.12.2018 09:34,0.94,10.74,11.4,111,116
510,2018-11-24,Tour 24.11.2018 10:29,1.97,27.06,13.8,491,507
511,2018-11-22,Tour 22.11.2018 07:03,1.04,19.91,19.1,135,131
512,2018-11-20,Tour 20.11.2018 06:50,0.86,14.38,16.7,99,99
513,2018-11-10,Tour 10.11.2018 10:48עדולם,0.0,33.78,0.0,472,472
514,2018-11-10,Tour 10.11.2018 10:46,1.91,23.59,12.4,401,441
515,2018-11-09,Tour 09.11.2018 16:08,1.1,19.88,18.1,141,139
516,2018-11-03,חרובית 03.11.2018 12:28,2.55,44.5,17.5,423,417
517,2018-10-30,Tour 30.10.2018 10:55,1.95,34.17,17.5,203,226
518,2018-10-27,Tour 27.10.2018  חרובית,1.75,26.98,15.4,257,300
519,2018-10-20,Tour 20.10.2018 10:24,1.73,22.17,12.8,289,278
520,2018-10-19,Tour 19.10.2018 18:08,1.56,29.15,18.7,191,196
521,2018-10-17,Tour 17.10.2018 11:33,1.74,31.36,18.1,226,229
522,2018-10-12,גדרה לבאר עמי,0.0,16.53,0.0,70,75
523,2018-08-25,Tour 25.08.2018 10:08,2.0,29.41,14.7,472,484
524,2018-08-24,Tour 24.08.2018 09:01,1.43,25.33,17.7,151,150
525,2018-08-22,Tour 22.08.2018 10:02,1.73,30.75,17.8,208,219
526,2018-08-15,Tour 15.08.2018 11:29,1.77,33.91,19.2,278,272
527,2018-08-12,Tour 12.08.2018 09:32,1.89,34.4,18.2,235,254
528,2018-08-06,Tour 06.08.2018 10:13,1.73,32.15,18.5,221,222
529,2018-08-03,Tour 03.08.2018 10:16,1.87,32.44,17.3,233,238
530,2018-08-01,Tour 01.08.2018 09:29,1.33,22.06,16.6,157,166
531,2018-07-30,Tour 30.07.2018 07:46,1.03,19.61,19.0,143,144
532,2018-07-29,Tour 29.07.2018 10:46,2.16,35.08,16.2,309,329
533,2018-07-27,Tour 27.07.2018 09:47,1.76,30.03,17.1,225,226
534,2018-07-14,Tour 14.07.2018 09:18,1.43,14.87,10.4,223,222
535,2018-07-07,Tour 07.07.2018 08:16,0.84,9.54,11.3,129,123
536,2018-07-06,Tour 06.07.2018 10:04,2.47,44.21,17.9,397,397
537,2018-07-03,Tour 03.07.2018 09:12,1.21,24.11,19.9,136,165
538,2018-06-27,Tour 27.06.2018 08:10,1.12,22.34,19.9,195,237
539,2018-06-26,Tour 26.06.2018 08:42,1.12,20.2,18.0,147,149
540,2018-06-16,Tour 16.06.2018 09:16,1.34,18.08,13.5,157,172
541,2018-06-09,Tour 09.06.2018 09:38,1.32,20.15,15.2,170,172
542,2018-06-08,Tour 08.06.2018 10:38,2.01,35.11,17.5,262,275
543,2018-06-05,Tour 05.06.2018 09:00,1.23,23.51,19.1,346,351
544,2018-06-02,Tour 02.06.2018 09:07,1.3,24.28,18.6,200,194
545,2018-06-01,Tour 01.06.2018 18:23,1.57,29.22,18.6,221,212
546,2018-05-30,Tour 30.05.2018 13:01,1.06,19.84,18.7,141,126
547,2018-05-28,Tour 28.05.2018 18:47,1.06,19.66,18.6,145,142
548,2018-05-26,Tour 26.05.2018 09:06,1.34,14.76,11.0,112,100
549,2018-05-19,Aqaba,0.86,3.31,3.8,20,22
550,2018-05-12,00Tour 12.05.2018 09:28,0.69,18.84,27.4,56,107
551,2018-05-11,Tour 11.05.2018 10:03,1.75,30.97,17.6,179,196
552,2018-05-08,Tou22 21. 2 ז ז 22 2 ה הק2 קקקכצרכר3רככ תהץנ  נדק קק2221 212 2הנהדץr 08.05.2018 ץץ09:222184 33332333,1.17,18.37,15.7,140,152
553,2018-05-04,Tour 04.05.2018 09:13,1.28,19.14,15.0,307,126
554,2018-05-03,Tour 03.05.2018 08:24,1.18,20.94,17.8,153,158
555,2018-04-30,Tour 18.12.2017 21:55 רכיבת שבילים לבנים קברות המכבים התחלה בליגד סנטר,1.03,15.41,14.9,194,188
556,2018-04-28,Tour 28.04.2018 13:24,2.9,43.16,14.9,396,398
